ItemID;SystemID;Buying;Selling
Decrypted User Data;Haiuts-Desyn;821;0
Star Silk;Haiuts-Desyn;5230;0
Comet Droplets;Haiuts-Desyn;14109;0
lon Sphere;Haiuts-Desyn;29711;0
Teleport Coordinators;Haiuts-Desyn;50621;0
Dirt;Isselbu IV;779;0
Unrefined Pyrite Grease;Isselbu IV;5000;0
Bromide Salt;Isselbu IV;13779;0
Polychromatic Zirconium;Isselbu IV;29330;0
Decrypted User Data;Rugunpo VIII;0;1809
Star Silk;Rugunpo VIII;0;10044
Comet Droplets;Rugunpo VIII;0;21965
lon Sphere;Rugunpo VIII;0;40309
Teleport Coordinators;Rugunpo VIII;0;63478
Decrypted User Data;Haiuts-Desyn;1809;0
Star Silk;Haiuts-Desyn;10044;0
Comet Droplets;Haiuts-Desyn;21965;0
lon Sphere;Haiuts-Desyn;40309;0
Teleport Coordinators;Haiuts-Desyn;63478;0
