ItemID;SystemID;Buying;Selling
Autonomous Positioning Unit;Ageoralc;0;39784
Autonomous Positioning Unit;Angelsk ;0;40111
Autonomous Positioning Unit;Busahachi;0;37834
Bromide Salt;Vouzei;0;21645
Comet Droplets;Danogda;0;18076
Comet Droplets;Gobori-Uoy;0;21383
Comet Droplets;Isbetsu;0;23181
Comet Droplets;Rugunpo VIII;0;21965
Decommissioned Circuit Board;Ageoralc;0;1805
Decommissioned Circuit Board;Angelsk ;0;1817
Decommissioned Circuit Board;Busahachi;0;1635
Decrypted User Data;Danogda;0;1512
Decrypted User Data;Gobori-Uoy;0;1730
Decrypted User Data;Isbetsu;0;1930
Decrypted User Data;Rugunpo VIII;0;1809
De-Scented Pheromone Bottle;Ekinov;0;1841
De-Scented Pheromone Bottle;Haiuts-Desyn;0;1920
De-Scented Pheromone Bottle;Iizumi-Ketsa;0;1891
De-Scented Pheromone Bottle;Prolym III;0;1869
Dirt;Vouzei;0;1744
Enormous Metal Cog;Davliaiut;0;1915
Experemental Power Fluid;Isselbu IV;0;38755
Experemental Power Fluid;Kikuse-Rekulo V;0;38030
Experemental Power Fluid;Uskazaray;0;37717
Experemental Power Fluid;Vameshai;0;40506
Five Dimensional Torus;Koyano-Noqabg;0;38648
Fusion Core;Isselbu IV;0;61706
Fusion Core;Kikuse-Rekulo V;0;60693
Fusion Core;Uskazaray;0;59706
Fusion Core;Vameshai;0;63606
High Capacity Vector Compressor;Davliaiut;0;64329
Holographic Crankshaft;Davliaiut;0;41507
Industrial-Grade Battery;Isselbu IV;0;9473
Industrial-Grade Battery;Kikuse-Rekulo V;0;9157
Industrial-Grade Battery;Uskazaray;0;9089
Industrial-Grade Battery;Vameshai;0;10221
Instability Injector;Ekinov;0;22286
Instability Injector;Haiuts-Desyn;0;22749
Instability Injector;Iizumi-Ketsa;0;22685
Instability Injector;Prolym III;0;22591
Ion Capacitor;Angelsk ;0;22168
Ion Capacitor;Busahachi;0;20779
Ion Sphere;Ageoralc;0;22343
Ion Sphere;Danogda;0;34708
Ion Sphere;Gobori-Uoy;0;38881
Ion Sphere;Isbetsu;0;41203
Ion Sphere;Rugunpo VIII;0;40309
Nanotube Crate;Koyano-Noqabg;0;1733
Neural Duct;Ekinov;0;64168
Neural Duct;Haiuts-Desyn;0;64841
Neural Duct;Iizumi-Ketsa;0;64213
Neural Duct;Prolym III;0;64469
Neutron Microscope;Ekinov;0;10303
Neutron Microscope;Haiuts-Desyn;0;10598
Neutron Microscope;Iizumi-Ketsa;0;10477
Neutron Microscope;Prolym III;0;10339
Non-Stick Piston;Davliaiut;0;10561
Ohmic Gel;Isselbu IV;0;21100
Ohmic Gel;Kikuse-Rekulo V;0;20491
Ohmic Gel;Uskazaray;0;20433
Ohmic Gel;Vameshai;0;22265
Optical Solvent;Koyano-Noqabg;0;21339
Organic Piping;Ekinov;0;40363
Organic Piping;Haiuts-Desyn;0;41429
Organic Piping;Iizumi-Ketsa;0;41352
Organic Piping;Prolym III;0;40800
Polychromic Zirconium;Vouzei;0;39373
Quantum Accelerator;Ageoralc;0;63640
Quantum Accelerator;Angelsk ;0;63519
Quantum Accelerator;Busahachi;0;61079
Re-latticed Arc Crystal;Vouzei;0;62232
Self-Repairing Heridium;Koyano-Noqabg;0;9476
Six-Pronged Mesh Decoupler;Davliaiut;0;22844
Spark Canister;Danogda;0;23726
Spark Canister;Isselbu IV;0;1680
Spark Canister;Kikuse-Rekulo V;0;1650
Spark Canister;Uskazaray;0;1600
Spark Canister;Vameshai;0;1831
Star Silk;Danogda;0;8961
Star Silk;Gobori-Uoy;0;9663
Star Silk;Isbetsu;0;10633
Star Silk;Rugunpo VIII;0;10044
Superconducting Fiber;Koyano-Noqabg;0;61722
Teleport Coordinators;Danogda;0;59687
Teleport Coordinators;Gobori-Uoy;0;62308
Teleport Coordinators;Isbetsu;0;65674
Teleport Coordinators;Rugunpo VIII;0;63478
Unrefined Pyrite Grease;Vouzei;0;9726
Welding Soap;Ageoralc;0;10051
Welding Soap;Angelsk ;0;10057
Welding Soap;Busahachi;0;9145
Dirt;Kikuse-Rekulo V;701;0
Nanotube Crate;Danogda;716;0
Nanotube Crate;Sarogiya;723;0
Nanotube Crate;Gobori-Uoy;754;0
Nanotube Crate;Rugunpo VIII;768;0
Dirt;Vameshai;774;0
Dirt;Isselbu IV;779;0
Spark Canister;Angelsk ;782;0
Nanotube Crate;Isbetsu;783;0
Decrypted User Data;Prolym III;797;0
Spark Canister;Busahachi;797;0
Spark Canister;Ageoralc;809;0
De-Scented Pheromone Bottle;Koyano-Noqabg;812;0
Decrypted User Data;Haiuts-Desyn;821;0
Decommissioned Circuit Board;Davliaiut;840;0
Decrypted User Data;Iizumi-Ketsa;850;0
Enormous Metal Cog;Vouzei;922;0
Decrypted User Data;Ekinov;929;0
Dirt;Uskazaray;963;0
Unrefined Pyrite Grease;Kikuse-Rekulo V;4604;0
Self-Repairing Heridium;Danogda;4664;0
Self-Repairing Heridium;Sarogiya;4688;0
Self-Repairing Heridium;Rugunpo VIII;4927;0
Unrefined Pyrite Grease;Vameshai;4981;0
Self-Repairing Heridium;Isbetsu;4990;0
Unrefined Pyrite Grease;Isselbu IV;5000;0
Industrial-Grade Battery;Busahachi;5073;0
Star Silk;Prolym III;5115;0
Industrial-Grade Battery;Ageoralc;5147;0
Welding Soap;Davliaiut;5206;0
Neutron Microscope;Koyano-Noqabg;5213;0
Star Silk;Haiuts-Desyn;5230;0
Star Silk;Iizumi-Ketsa;5345;0
Non-Stick Piston;Vouzei;5705;0
Star Silk;Ekinov;5773;0
Unrefined Pyrite Grease;Uskazaray;5919;0
Bromide Salt;Kikuse-Rekulo V;13044;0
Optical Solvent;Danogda;13233;0
Optical Solvent;Rugunpo VIII;13583;0
Optical Solvent;Isbetsu;13704;0
Bromide Salt;Isselbu IV;13779;0
Ohmic Gel;Busahachi;13805;0
Comet Droplets;Prolym III;13921;0
Instability Injector;Koyano-Noqabg;14071;0
Comet Droplets;Haiuts-Desyn;14109;0
Ion Capacitor;Davliaiut;14181;0
Comet Droplets;Iizumi-Ketsa;14351;0
Six-Pronged Mesh Decoupler;Vouzei;14819;0
Bromide Salt;Uskazaray;15257;0
Polychromic Zirconium;Kikuse-Rekulo V;27914;0
Five Dimensional Torus;Danogda;28301;0
Five Dimensional Torus;Rugunpo VIII;28744;0
Five Dimensional Torus;Isbetsu;29066;0
Organic Piping;Koyano-Noqabg;29285;0
Polychromic Zirconium;Isselbu IV;29330;0
Autonomous Positioning Unit;Davliaiut;29706;0
Ion Sphere;Haiuts-Desyn;29711;0
Ion Sphere;Iizumi-Ketsa;29905;0
Holographic Crankshaft;Vouzei;30796;0
Re-latticed Arc Crystal;Kikuse-Rekulo V;48389;0
Superconducting Fiber;Danogda;48839;0
Superconducting Fiber;Isbetsu;49869;0
Teleport Coordinators;Haiuts-Desyn;50621;0
Teleport Coordinators;Iizumi-Ketsa;50632;0
